ip_address,domain
<<<<<<< HEAD
209.205.204.202,camtl.securetunnels.net
209.205.204.210,camtl.securetunnels.net
209.205.204.218,camtl.securetunnels.net
=======
139.84.226.214,sa.securetunnels.net
139.84.227.202,sa.securetunnels.net
139.84.230.239,sa.securetunnels.net
185.125.168.247,no.torguard.org
185.125.168.248,no.torguard.org
185.125.169.24,no.torguard.org
185.125.169.25,no.torguard.org
185.125.169.26,no.torguard.org
185.125.169.27,no.torguard.org
185.125.169.29,no.torguard.org
185.125.169.30,no.torguard.org
185.125.169.31,no.torguard.org
185.125.169.32,no.torguard.org
185.181.61.151,no.torguard.org
185.181.61.36,no.torguard.org
185.181.61.37,no.torguard.org
185.181.61.39,no.torguard.org
185.181.61.40,no.torguard.org
107.182.228.102,us-slc.securetunnels.net
107.182.228.197,us-slc.securetunnels.net
107.182.234.160,us-slc.securetunnels.net
107.182.234.161,us-slc.securetunnels.net
173.244.208.23,us-slc.securetunnels.net
208.131.139.133,us-slc.securetunnels.net
208.131.139.141,us-slc.securetunnels.net
208.131.139.149,us-slc.securetunnels.net
208.131.139.152,us-slc.securetunnels.net
208.131.139.218,us-slc.securetunnels.net
209.95.32.122,us-slc.securetunnels.net
209.95.32.125,us-slc.securetunnels.net
209.95.32.126,us-slc.securetunnels.net
209.95.56.134,us-slc.securetunnels.net
209.95.56.142,us-slc.securetunnels.net
67.212.238.215,us-slc.securetunnels.net
45.133.180.130,br.torguard.org
45.133.180.138,br.torguard.org
45.133.180.146,br.torguard.org
45.133.180.154,br.torguard.org
45.133.180.162,br.torguard.org
45.133.180.10,mx.torguard.org
45.133.180.18,mx.torguard.org
45.133.180.2,mx.torguard.org
45.133.180.26,mx.torguard.org
45.133.180.34,mx.torguard.org
45.133.181.66,tw.securetunnels.net
37.120.153.102,swe.torguard.org
37.120.153.107,swe.torguard.org
37.120.153.12,swe.torguard.org
37.120.153.17,swe.torguard.org
37.120.153.2,swe.torguard.org
37.120.153.22,swe.torguard.org
37.120.153.27,swe.torguard.org
37.120.153.32,swe.torguard.org
37.120.153.37,swe.torguard.org
37.120.153.42,swe.torguard.org
37.120.153.47,swe.torguard.org
37.120.153.52,swe.torguard.org
37.120.153.57,swe.torguard.org
37.120.153.62,swe.torguard.org
37.120.153.67,swe.torguard.org
37.120.153.7,swe.torguard.org
37.120.153.72,swe.torguard.org
37.120.153.77,swe.torguard.org
37.120.153.82,swe.torguard.org
37.120.153.87,swe.torguard.org
37.120.153.92,swe.torguard.org
37.120.153.97,swe.torguard.org
185.200.116.250,sg.securetunnels.net
185.200.117.138,sg.securetunnels.net
185.200.117.142,sg.securetunnels.net
185.200.117.186,sg.securetunnels.net
82.102.25.2,sg.securetunnels.net
82.102.25.226,sg.securetunnels.net
91.245.253.134,sg.securetunnels.net
91.245.253.138,sg.securetunnels.net
92.119.178.22,sg.securetunnels.net
92.119.178.26,sg.securetunnels.net
107.181.189.34,cavan.torguard.org
107.181.189.35,cavan.torguard.org
107.181.189.36,cavan.torguard.org
107.181.189.37,cavan.torguard.org
107.181.189.38,cavan.torguard.org
107.181.189.39,cavan.torguard.org
107.181.189.40,cavan.torguard.org
107.181.189.41,cavan.torguard.org
107.181.189.42,cavan.torguard.org
107.181.189.43,cavan.torguard.org
107.181.189.44,cavan.torguard.org
107.181.189.45,cavan.torguard.org
107.181.189.46,cavan.torguard.org
107.181.189.47,cavan.torguard.org
107.181.189.48,cavan.torguard.org
>>>>>>> 2ef619dc293cbe92c940d6409916e0085e68d3bc
45.133.180.10,mx.securetunnels.net
45.133.180.18,mx.securetunnels.net
45.133.180.2,mx.securetunnels.net
45.133.180.26,mx.securetunnels.net
45.133.180.34,mx.securetunnels.net
<<<<<<< HEAD
103.108.94.50,nz.securetunnels.net
103.108.94.58,nz.securetunnels.net
103.231.90.10,nz.securetunnels.net
103.231.90.18,nz.securetunnels.net
103.231.90.2,nz.securetunnels.net
103.231.90.202,nz.securetunnels.net
103.231.90.26,nz.securetunnels.net
103.231.90.34,nz.securetunnels.net
103.231.90.42,nz.securetunnels.net
96.44.173.202,la.usa.secretgate.net
96.44.183.186,la.usa.secretgate.net
96.44.184.42,la.usa.secretgate.net
45.133.181.66,tw.securetunnels.net
109.207.76.147,isr-loc2.torguard.org
185.28.154.98,isr-loc2.torguard.org
91.202.169.7,isr-loc2.torguard.org
=======
185.104.186.2,bg.torguard.org
185.232.21.210,bg.torguard.org
185.232.21.242,bg.torguard.org
185.232.21.250,bg.torguard.org
185.232.21.34,bg.torguard.org
185.232.21.42,bg.torguard.org
194.187.251.34,bg.torguard.org
89.249.73.130,bg.torguard.org
89.249.73.162,bg.torguard.org
89.249.73.170,bg.torguard.org
89.249.73.250,bg.torguard.org
94.46.179.65,pg.securetunnels.net
94.46.179.70,pg.securetunnels.net
94.46.179.80,pg.securetunnels.net
37.120.156.170,pl.securetunnels.net
